Generated 1023 waypoints.

[105] x=-7.46, y=160.24, z=0.00, yaw=90.13
[106] x=-3.45, y=157.24, z=0.00, yaw=-89.87
[107] x=-7.45, y=157.24, z=0.00, yaw=90.13
[108] x=-3.44, y=154.24, z=0.00, yaw=-89.87
[109] x=-7.44, y=154.24, z=0.00, yaw=90.13
[110] x=-3.44, y=151.24, z=0.00, yaw=-89.87
[111] x=-7.44, y=151.24, z=0.00, yaw=90.13
[112] x=-3.43, y=148.24, z=0.00, yaw=-89.87
[113] x=-7.43, y=148.24, z=0.00, yaw=90.13
[114] x=-3.42, y=145.24, z=0.00, yaw=-89.87
[115] x=-7.42, y=145.24, z=0.00, yaw=90.13
[116] x=-3.42, y=142.24, z=0.00, yaw=-89.87
[117] x=-7.42, y=142.24, z=0.00, yaw=90.13
[118] x=-3.41, y=139.24, z=0.00, yaw=-89.87
[119] x=-7.41, y=139.24, z=0.00, yaw=90.13
[120] x=-3.40, y=136.24, z=0.00, yaw=-89.87
[121] x=-7.40, y=136.24, z=0.00, yaw=90.13
[122] x=-3.40, y=133.24, z=0.00, yaw=-89.87
[123] x=-7.40, y=133.24, z=0.00, yaw=90.13
[124] x=-3.39, y=130.24, z=0.00, yaw=-89.87
[125] x=-7.39, y=130.24, z=0.00, yaw=90.13
[126] x=-3.38, y=127.24, z=0.00, yaw=-89.87
[127] x=-7.38, y=127.24, z=0.00, yaw=90.13
[128] x=-3.38, y=124.24, z=0.00, yaw=-89.87
[129] x=-7.38, y=124.24, z=0.00, yaw=90.13
[130] x=-3.37, y=121.24, z=0.00, yaw=-89.87
[131] x=-7.37, y=121.24, z=0.00, yaw=90.13
[132] x=-3.36, y=118.24, z=0.00, yaw=-89.87
[133] x=-7.36, y=118.24, z=0.00, yaw=90.13
[134] x=4.62, y=302.56, z=0.00, yaw=179.96
[135] x=4.62, y=306.56, z=0.00, yaw=359.96
[136] x=2.03, y=302.41, z=0.00, yaw=191.46
[137] x=1.24, y=306.33, z=0.00, yaw=371.46
[138] x=-0.20, y=301.58, z=0.00, yaw=209.10
[139] x=-2.14, y=305.08, z=0.00, yaw=389.10
[140] x=-2.01, y=300.16, z=0.00, yaw=228.84
[141] x=-5.02, y=302.79, z=0.00, yaw=408.84
[142] x=-3.09, y=298.26, z=0.00, yaw=251.73
[143] x=-6.89, y=299.52, z=0.00, yaw=431.73
[144] x=-3.37, y=295.93, z=0.00, yaw=-90.09
[145] x=-7.37, y=295.93, z=0.00, yaw=89.91
[146] x=54.72, y=240.88, z=0.00, yaw=0.03
[147] x=51.22, y=240.43, z=0.00, yaw=15.50
[148] x=47.96, y=238.99, z=0.00, yaw=32.01
[149] x=45.24, y=236.69, z=0.00, yaw=48.37
[150] x=43.27, y=233.78, z=0.00, yaw=63.43
[151] x=42.12, y=230.46, z=0.00, yaw=78.49
[152] x=181.50, y=109.42, z=0.00, yaw=-0.04
[153] x=181.50, y=105.42, z=0.00, yaw=179.96
[154] x=183.90, y=109.76, z=0.00, yaw=16.36
[155] x=185.02, y=105.92, z=0.00, yaw=196.36
[156] x=186.09, y=110.76, z=0.00, yaw=33.05
[157] x=188.27, y=107.41, z=0.00, yaw=213.05
[158] x=187.89, y=112.35, z=0.00, yaw=49.95
[159] x=190.95, y=109.78, z=0.00, yaw=229.95
[160] x=189.13, y=114.39, z=0.00, yaw=67.30
[161] x=192.82, y=112.84, z=0.00, yaw=247.30
[162] x=189.71, y=116.70, z=0.00, yaw=84.64
[163] x=193.69, y=116.33, z=0.00, yaw=264.64
[164] x=182.52, y=236.95, z=0.00, yaw=-179.97
[165] x=185.32, y=236.93, z=0.00, yaw=-185.68
[166] x=187.39, y=236.28, z=0.00, yaw=-209.02
[167] x=188.96, y=234.92, z=0.00, yaw=125.12
[168] x=189.67, y=233.06, z=0.00, yaw=96.64
[169] x=3.40, y=191.55, z=0.00, yaw=0.03
[170] x=3.40, y=187.55, z=0.00, yaw=180.03
[171] x=6.40, y=191.56, z=0.00, yaw=0.03
[172] x=6.40, y=187.56, z=0.00, yaw=180.03
[173] x=9.40, y=191.56, z=0.00, yaw=0.03
[174] x=9.40, y=187.56, z=0.00, yaw=180.03
[175] x=12.40, y=191.56, z=0.00, yaw=0.03
[176] x=12.40, y=187.56, z=0.00, yaw=180.03
[177] x=15.40, y=191.56, z=0.00, yaw=0.03
[178] x=15.40, y=187.56, z=0.00, yaw=180.03
[179] x=18.40, y=191.56, z=0.00, yaw=0.03
[180] x=18.40, y=187.56, z=0.00, yaw=180.03
[181] x=21.40, y=191.56, z=0.00, yaw=0.03
[182] x=21.40, y=187.56, z=0.00, yaw=180.03
[183] x=24.40, y=191.56, z=0.00, yaw=0.03
[184] x=24.40, y=187.56, z=0.00, yaw=180.03
[185] x=27.40, y=191.56, z=0.00, yaw=0.03
[186] x=27.40, y=187.56, z=0.00, yaw=180.03
[187] x=30.40, y=191.57, z=0.00, yaw=0.03
[188] x=30.40, y=187.57, z=0.00, yaw=180.03
[189] x=33.40, y=191.57, z=0.00, yaw=0.03
[190] x=33.40, y=187.57, z=0.00, yaw=180.03
[191] x=52.70, y=191.58, z=0.00, yaw=0.03
[192] x=52.70, y=187.58, z=0.00, yaw=180.03
[193] x=55.70, y=191.58, z=0.00, yaw=0.03
[194] x=55.70, y=187.58, z=0.00, yaw=180.03
[195] x=58.70, y=191.58, z=0.00, yaw=0.03
[196] x=58.70, y=187.58, z=0.00, yaw=180.03
[197] x=61.70, y=191.58, z=0.00, yaw=0.03
[198] x=61.70, y=187.58, z=0.00, yaw=180.03
[199] x=64.70, y=191.58, z=0.00, yaw=0.03
[200] x=64.70, y=187.58, z=0.00, yaw=180.03
[201] x=67.70, y=191.58, z=0.00, yaw=0.03
[202] x=67.70, y=187.58, z=0.00, yaw=180.03
[203] x=70.70, y=191.58, z=0.00, yaw=0.03
[204] x=70.70, y=187.58, z=0.00, yaw=180.03
[205] x=73.70, y=191.59, z=0.00, yaw=0.03
[206] x=73.70, y=187.59, z=0.00, yaw=180.03
[207] x=76.70, y=191.59, z=0.00, yaw=0.03
[208] x=76.70, y=187.59, z=0.00, yaw=180.03
[209] x=79.70, y=191.59, z=0.00, yaw=0.03
[210] x=79.70, y=187.59, z=0.00, yaw=180.03
[211] x=82.70, y=191.59, z=0.00, yaw=0.03
[212] x=82.70, y=187.59, z=0.00, yaw=180.03
[213] x=85.70, y=191.59, z=0.00, yaw=0.03
[214] x=85.70, y=187.59, z=0.00, yaw=180.03
[215] x=88.70, y=191.59, z=0.00, yaw=0.03
[216] x=88.70, y=187.59, z=0.00, yaw=180.03
[217] x=91.70, y=191.59, z=0.00, yaw=0.03
[218] x=91.70, y=187.59, z=0.00, yaw=180.03
[219] x=94.70, y=191.60, z=0.00, yaw=0.03
[220] x=94.70, y=187.60, z=0.00, yaw=180.03
[221] x=97.70, y=191.60, z=0.00, yaw=0.03
[222] x=97.70, y=187.60, z=0.00, yaw=180.03
[223] x=100.70, y=191.60, z=0.00, yaw=0.03
[224] x=100.70, y=187.60, z=0.00, yaw=180.03
[225] x=103.70, y=191.60, z=0.00, yaw=0.03
[226] x=103.70, y=187.60, z=0.00, yaw=180.03
[227] x=106.70, y=191.60, z=0.00, yaw=0.03
[228] x=106.70, y=187.60, z=0.00, yaw=180.03
[229] x=109.70, y=191.60, z=0.00, yaw=0.03
[230] x=109.70, y=187.60, z=0.00, yaw=180.03
[231] x=112.70, y=191.60, z=0.00, yaw=0.03
[232] x=112.70, y=187.60, z=0.00, yaw=180.03
[233] x=115.70, y=191.61, z=0.00, yaw=0.03
[234] x=115.70, y=187.61, z=0.00, yaw=180.03
[235] x=118.70, y=191.61, z=0.00, yaw=0.03
[236] x=118.70, y=187.61, z=0.00, yaw=180.03
[237] x=121.70, y=191.61, z=0.00, yaw=0.03
[238] x=121.70, y=187.61, z=0.00, yaw=180.03
